category,original_accuracy,improved_accuracy,accuracy_change,original_precision,improved_precision,precision_change,original_recall,improved_recall,recall_change,original_f1,improved_f1,f1_change,decision
cable,0.381,0.619,0.2381,0.3403,0.6792,0.3389,0.3542,0.6458,0.2917,0.3214,0.6193,0.2979,IMPROVED_MODEL_BETTER
capsule,0.2632,0.2632,0.0,0.1822,0.3375,0.1553,0.2667,0.25,-0.0167,0.2141,0.2067,-0.0074,ORIGINAL_MODEL_BETTER
pill,0.2069,0.4138,0.2069,0.1095,0.3832,0.2737,0.1714,0.4643,0.2929,0.123,0.4049,0.2819,IMPROVED_MODEL_BETTER
screw,0.1739,0.087,-0.087,0.1641,0.0444,-0.1197,0.19,0.08,-0.11,0.1442,0.0571,-0.0871,ORIGINAL_MODEL_BETTER
transistor,0.25,0.375,0.125,0.1875,0.3214,0.1339,0.25,0.375,0.125,0.2083,0.2778,0.0694,IMPROVED_MODEL_BETTER
wood,0.2308,0.5385,0.3077,0.1111,0.5333,0.4222,0.2,0.4833,0.2833,0.1415,0.4914,0.3499,IMPROVED_MODEL_BETTER
zipper,0.04,0.36,0.32,0.0143,0.3143,0.3,0.0476,0.3333,0.2857,0.022,0.3102,0.2882,IMPROVED_MODEL_BETTER
